IMR,DISTRICT,FD,STATE,FS,POPULATION,BCG,DPT_1,DPT_2,DPT_3,PENTA_1,PENTA_2,PENTA_3,OPV_0,OPV_1,OPV_2,OPV_3,HEP_B0,HEP_B1,HEP_B2,HEP_B3,MEAS_1,MEAS_2,JE_1,M_FI_9_11,F_FI_9_11,T_FI_9_11,DPT_1B,OPV_B,MMR_V,DPT5_2B,TT_10,TT_16,AEFI_A,AEFI_D,AEFI_O,IS_P,IS_H,IS_ASHA,JE_16M,dropout_gap_percent,asha_efficiency_ratio,IMR_TARGET,IMR_TARGET_NUM
LOW,Bankura,NPD,WEST BENGAL,NHF,3596292,52644.75,11376,12781,14750,42272,40127,38728,47926,53208,52627,53080,37759.25,11434,12842,14816,41444,53011,36727,27269,25670,52939,52373,53233,4,48514,39524,29777,89,1,1248,21031,20681,18356,40851,0.0,5.104146159433105,LOW,0
LOW,Bardhaman,NPD,WEST BENGAL,NHF,7723663,121209.0,27656,30462,33544,86842,82428,79724,95076,113431,111387,111782,66928.25,27260,29588,32648,86522,104685,71463,57772,53356,111128,106383,107132,550,81691,60148,43460,35,1,2523,38498,38198,28622,93318,8.317039163758466,3.705754639994003,LOW,0
LOW,Birbhum,NPD,WEST BENGAL,NHF,3502387,62373.5,12987,14808,16580,48026,44569,42370,50974,58873,57253,56788,43869.5,12715,14327,15894,45025,55431,41667,30028,28404,58432,56065,55056,0,39767,26079,20636,132,1,4697,24594,24365,21479,51930,6.31919004064226,6.132674658739882,LOW,0
LOW,Dakshin Dinajpur,NPD,WEST BENGAL,NHF,1670931,24117.5,5754,6463,7288,20906,19665,18742,22178,26456,26048,25722,19138.0,5711,6449,7163,19575,25247,19139,12935,12246,25181,25218,25273,15,18679,11342,7883,53,0,798,9673,9632,8686,24448,0.0,5.198299630565235,LOW,0
LOW,Darjeeling,NPD,WEST BENGAL,NHF,1842034,33513.25,6183,6849,7407,20197,19139,18204,32089,25822,25519,25221,19593.5,5577,6320,6875,21156,22795,18701,13828,13130,26958,22682,23008,206,19040,16597,12355,30,0,806,10444,10294,4208,21701,19.56017396104526,2.2844312319968036,LOW,0
LOW,Haora,NPD,WEST BENGAL,NHF,4841638,58444.0,14268,15995,17949,50155,47520,45640,44967,63695,63207,62953,28121.75,13942,15501,17271,48319,60346,43316,31863,30101,61964,60086,60373,134,47798,44655,35299,128,1,6155,24323,24047,18388,55496,0.0,3.7978882353451455,LOW,0
LOW,Hooghly,NPD,WEST BENGAL,NHF,5520389,71845.25,16535,18426,20816,57853,55106,53307,59467,73950,73204,73818,38518.0,16420,18292,20627,56410,72487,54523,37071,34956,72027,71835,72718,0,63021,56234,41405,52,0,735,30340,29611,24166,73217,0.0,4.3775900575122515,LOW,0
LOW,Jalpaiguri,NPD,WEST BENGAL,NHF,3869675,57153.25,11929,13793,15773,44868,42926,41382,49623,55976,55857,56124,38326.25,11745,13681,15758,43487,55553,41330,28760,27090,55850,56485,56155,17,50248,47433,35518,64,1,3452,22071,21584,18524,51242,2.280272775388976,4.7869653136245285,LOW,0
LOW,Koch Bihar,PD,WEST BENGAL,NHF,2822780,47590.0,10233,11902,13695,38669,36669,35071,37211,48410,47839,47656,31364.0,10284,11842,13242,36240,46061,20140,24069,22667,46736,45827,46171,0,36489,30984,23977,33,0,2501,20936,20582,18857,22339,1.7944946417314562,6.680293894671211,LOW,0
LOW,Kolkata,NPD,WEST BENGAL,NHF,4486679,93966.25,9776,10584,11829,33367,29829,27851,86176,41480,38753,38076,76265.25,9578,10236,11406,32822,38354,11744,20974,19110,40084,39060,38103,433,31535,22950,11797,45,0,250,11910,11669,19,19647,57.34213081824592,0.004234758047098979,LOW,0
LOW,Malda,PD,WEST BENGAL,NHF,3997970,94143.25,19396,22136,24992,72892,68217,64684,70178,91329,89194,88357,56203.0,18885,21587,24049,69572,80704,68348,44629,43266,87895,81341,80962,111,33754,22594,14257,216,0,4422,22743,22474,20800,73081,6.63696016443027,5.202640339972536,LOW,0
LOW,Medinipur East,NPD,WEST BENGAL,NHF,5094238,81560.5,16569,18490,20918,62790,59643,57511,64052,79215,77972,78329,40678.25,16556,18472,20806,59521,77954,23997,39945,37522,77468,76238,78089,64,63735,50660,51607,29,2,1124,30242,30026,27724,29619,5.017747561626032,5.442227080870584,LOW,0
LOW,Medinipur West,NPD,WEST BENGAL,NHF,5943300,83066.5,19684,21910,24833,66655,63151,60532,72916,85278,84605,84668,49574.25,19346,21582,24477,68246,83788,59065,43049,40886,83935,84208,84835,948,75034,58152,43603,26,2,1990,34101,33926,29098,74937,0.0,4.895933235744452,LOW,0
LOW,Murshidabad,PD,WEST BENGAL,NHF,7102430,151355.5,33066,38491,43279,122163,114707,109687,131364,155044,152538,152139,105799.5,32634,37670,42322,116284,146732,61626,75399,72986,148385,145485,146340,291,104216,101935,84227,134,2,1248,46160,45962,40433,70422,1.9625979895015375,5.692840337743561,LOW,0
LOW,Nadia,NPD,WEST BENGAL,NHF,5168488,72583.5,15444,17506,19859,58391,55657,53639,59075,73482,72787,72705,40820.5,15349,17403,19675,54801,71770,31168,36660,35375,72035,70937,72153,13,61177,53856,39649,91,2,1159,23736,23601,20208,39225,0.7556813876431971,3.9098475221380022,LOW,0
LOW,North 24 Parganas,NPD,WEST BENGAL,NHF,10082852,102270.5,26896,29587,32842,92287,88176,85391,80581,118231,116611,116849,52517.5,26617,29143,32366,88248,113146,23300,61205,57999,119205,112650,113443,185,90493,72135,49491,38,1,144,34963,34053,23452,34262,0.0,2.3259292112985492,LOW,0
LOW,Puruliya,NPD,WEST BENGAL,NHF,2927965,51020.25,12004,13452,15090,42470,40366,38882,44750,54090,53576,53779,40380.0,11863,13328,15031,40659,52377,22547,27516,25771,53287,51433,52408,35,43848,30076,24667,138,1,1191,21832,21746,16204,26333,0.0,5.534219159040494,LOW,0
LOW,South 24 Parganas,PD,WEST BENGAL,NHF,8153176,127904.0,30917,35625,40438,110482,104335,100158,92414,140399,138580,138669,64274.75,30393,34512,38588,105976,132319,33388,68805,64895,133700,132142,133399,53,87228,72941,59469,145,2,3940,48816,47415,38566,40526,0.0,4.730181220177266,LOW,0
LOW,Uttar Dinajpur,PD,WEST BENGAL,NHF,3000849,65723.25,14011,16074,17982,53660,50659,48745,44479,67603,66477,66594,29628.0,13722,15643,17614,49728,62670,45192,33608,31699,65308,62871,62903,0,34215,23553,17607,49,0,711,19424,19324,13951,54260,0.6318159859714789,4.649017661335175,LOW,0
